seed_title,onet_code,onet_name
Bolt Man,47-5043.00,"Roof Bolters, Mining"
Physical Design Engineer,17-2061.00,Computer Hardware Engineers
City Planner,19-3051.00,Urban and Regional Planners
Branch Manager,11-3031.00,Financial Managers
Percussionist,27-2042.00,Musicians and Singers
Environmental Education Specialist,19-1031.03,Park Naturalists
Process Engineering Manager,11-9041.00,Architectural and Engineering Managers
Side Laster,51-6042.00,Shoe Machine Operators and Tenders
Network Analyst,15-1241.00,Computer Network Architects
Commercial Fishing Vessel Operator,45-3031.00,Fishing and Hunting Workers
Diagnostic Medical Sonographer,29-2032.00,Diagnostic Medical Sonographers
Roustabout Crew Pusher,47-5071.00,"Roustabouts, Oil and Gas"
Injection Molding Technician,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Reforestation Worker,45-4011.00,Forest and Conservation Workers
Police Detective,33-3021.00,Detectives and Criminal Investigators
Credit Administration Manager,11-3031.00,Financial Managers
Cafeteria Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Telephone Collector,43-3011.00,Bill and Account Collectors
Compensation Director,11-3111.00,Compensation and Benefits Managers
Superior Court Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Museum Archivist,25-4011.00,Archivists
Medicolegal Death Investigator,13-1041.06,Coroners
Wellness Programs Director,11-9179.01,Fitness and Wellness Coordinators
Upholstery Cutter,51-6093.00,Upholsterers
Acute Care Occupational Therapy Assistant (Acute Care OT Assistant),31-2011.00,Occupational Therapy Assistants
Cardiac Catheterization Technician,29-2031.00,Cardiovascular Technologists and Technicians
Upholstered Goods Crafter,51-6093.00,Upholsterers
County Medical Examiner,13-1041.06,Coroners
Product Line Manager,11-2021.00,Marketing Managers
Instructional Systems Specialist,25-9031.00,Instructional Coordinators
Technology Education Teacher (Tech Ed Teacher),25-2023.00,"Career/Technical Education Teachers, Middle School"
Hard Rock Drill Operator,47-5023.00,"Earth Drillers, Except Oil and Gas"
Pediatric Dental Hygienist,29-1292.00,Dental Hygienists
Fieldman,43-5041.00,"Meter Readers, Utilities"
Television Reporter (TV Reporter),27-3023.00,"News Analysts, Reporters, and Journalists"
Mathematical Statistician,15-2041.00,Statisticians
Cooler Deliverer,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Oncology Social Worker,21-1022.00,Healthcare Social Workers
Travel Agent,41-3041.00,Travel Agents
Nuclear Licensing Engineer,17-2161.00,Nuclear Engineers
Jigger Machine Operator,51-9195.05,"Potters, Manufacturing"
Food and Nutrition Professor,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
Women's Athletic Trainer,29-9091.00,Athletic Trainers
QC Chemist (Quality Control Chemist),19-2031.00,Chemists
Debt Collector,43-3011.00,Bill and Account Collectors
Pharmacy Aide,31-9095.00,Pharmacy Aides
Motor Rigger,49-9096.00,Riggers
Toxicologist,19-1042.00,"Medical Scientists, Except Epidemiologists"
Semi Truck Driver,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
Environmental Economist,19-3011.01,Environmental Economists
Sewer Bricklayer,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Photonic Laboratory Technician (Photonic Lab Tech),17-3029.08,Photonics Technicians
Dough Mixer,51-3011.00,Bakers
Paralegal Assistant,23-2011.00,Paralegals and Legal Assistants
Business Banking Manager,11-3031.00,Financial Managers
Registered Radiologic Technologist (RT (R)),29-2034.00,Radiologic Technologists and Technicians
Staff Certified Nurse Midwife,29-1161.00,Nurse Midwives
Oriental Medicine Provider,29-1291.00,Acupuncturists
Fire Fighter,33-2011.00,Firefighters
Talent Representative,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
ARNP Specialist (Advanced Registered Nurse Practitioner Specialist),29-1171.00,Nurse Practitioners
Production Assistant,43-5061.00,"Production, Planning, and Expediting Clerks"
Registered Nurse Clinical Information Systems Educator (RN Clinical Information Systems Educator),15-1211.01,Health Informatics Specialists
Fish and Wildlife Biologist,19-1023.00,Zoologists and Wildlife Biologists
Environmental Quality Analyst,13-1041.01,Environmental Compliance Inspectors
"HVAC Service Tech (Heating, Ventilation, and Air Conditioning Service Technician)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Slitter,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Product Safety Consultant,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Phlebotomy Technician,31-9097.00,Phlebotomists
Sanitarian Specialist,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Modular Set Crew Member,49-9095.00,Manufactured Building and Mobile Home Installers
Tooling Set-Up Person,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
E and I Apprentice (Electrician and Instrumentation Apprentice),47-3013.00,Helpers--Electricians
Chief Financial Officer (CFO),11-1011.00,Chief Executives
Medical Legal Investigator (MLI),13-1041.06,Coroners
Administrative Aide,43-6011.00,Executive Secretaries and Executive Administrative Assistants
State Game Warden,33-3031.00,Fish and Game Wardens
Facilities Engineer,17-2112.00,Industrial Engineers
Back End Engineer,15-1252.00,Software Developers
Project Designer,17-3013.00,Mechanical Drafters
Draftsman,17-3011.00,Architectural and Civil Drafters
Laundry Attendant,51-6011.00,Laundry and Dry-Cleaning Workers
Batching Operator,51-3092.00,Food Batchmakers
Oil and Gas Roustabout,47-5071.00,"Roustabouts, Oil and Gas"
Desk Clerk,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Tile Man,47-2044.00,Tile and Stone Setters
Enforcement Officer,13-1041.01,Environmental Compliance Inspectors
Power Plant Supervisor,11-3051.06,Hydroelectric Production Managers
Orientation and Mobility Specialist (O and M Specialist),29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Medical Equipment Service Tech (Medical Equipment Service Technician),49-9062.00,Medical Equipment Repairers
Television News Video Editor,27-4032.00,Film and Video Editors
Employment Advisor,21-1015.00,Rehabilitation Counselors
Compensation Analyst,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Conservation Biology Professor,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
Forensic Accountant,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Scale Operator,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Aircraft Dispatcher,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Dog Trainer,39-2011.00,Animal Trainers
Bindery Operator,51-5113.00,Print Binding and Finishing Workers
RFID Engineer (Radio Frequency Identification Device Engineer),17-2072.01,Radio Frequency Identification Device Specialists
Hearing Instrument Dispenser,29-2092.00,Hearing Aid Specialists
Tax Associate,13-2082.00,Tax Preparers
Ergonomics Consultant,17-2112.01,Human Factors Engineers and Ergonomists
Engineering Program Manager,11-9041.00,Architectural and Engineering Managers
Golf Course Superintendent,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Drywall Installer,47-2081.00,Drywall and Ceiling Tile Installers
Registered Electroneurodiagnostic Technologist (Registered END Tech),29-2099.01,Neurodiagnostic Technologists
Land Resource Specialist,19-1031.00,Conservation Scientists
Digital Forensics Instructor,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Plant Science Professor,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
Ecologist,19-2041.03,Industrial Ecologists
Regulatory Science Director,11-9199.01,Regulatory Affairs Managers
Staff Psychiatrist,29-1223.00,Psychiatrists
Electronic Tech (Electronic Technician),49-2097.00,Audiovisual Equipment Installers and Repairers
Clinical Research Administrator,11-9121.01,Clinical Research Coordinators
Computed Tomography Simulation Therapist (CT Simulation Therapist),29-1124.00,Radiation Therapists
Copyholder,43-9081.00,Proofreaders and Copy Markers
Boiler Maker,47-2011.00,Boilermakers
Anesthesiologists' Assistant,29-1071.01,Anesthesiologist Assistants
Biotechnician,15-2099.01,Bioinformatics Technicians
Group Fitness Manager (GFM),11-9179.01,Fitness and Wellness Coordinators
Remote Encoding Operations Supervisor,11-9131.00,Postmasters and Mail Superintendents
Field Interviewer,19-3022.00,Survey Researchers
Expanded Duty Dental Assistant (EDDA),31-9091.00,Dental Assistants
Confessor,21-2011.00,Clergy
Credit Clerk,43-3011.00,Bill and Account Collectors
Nude Model,41-9012.00,Models
Appliance Technician (Appliance Tech),49-9031.00,Home Appliance Repairers
Wildlife Manager,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Computer-Aided Drafting Designer (CAD Designer),17-3011.00,Architectural and Civil Drafters
Field Traffic Investigator,53-6041.00,Traffic Technicians
Investments Specialist,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Marketing Manager,11-2021.00,Marketing Managers
Acquisition Cost Estimator,13-1051.00,Cost Estimators
Dough Scaler,51-3092.00,Food Batchmakers
Surgical Technician,29-2055.00,Surgical Technologists
Tree Faller,45-4021.00,Fallers
Valet,39-6011.00,Baggage Porters and Bellhops
Welder,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
Modern Languages Professor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Small Engine Mechanic,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
Real Property Appraiser,13-2023.00,Appraisers and Assessors of Real Estate
Floral Designer,27-1023.00,Floral Designers
Pest Control Operator,37-2021.00,Pest Control Workers
Rough Carpenter,47-2031.00,Carpenters
Clinical Exercise Physiologist,29-1128.00,Exercise Physiologists
Mobile Crane Operator,53-7021.00,Crane and Tower Operators
Economic Consultant,19-3011.00,Economists
Airport Sales Agent,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Mortgage Processor,43-4131.00,Loan Interviewers and Clerks
Salt Miner,47-5081.00,Helpers--Extraction Workers
Web Press Operator,51-5112.00,Printing Press Operators
Crime Scene Investigator,33-3021.02,Police Identification and Records Officers
Children's Service Supervisor,11-9151.00,Social and Community Service Managers
Basketball Player,27-2021.00,Athletes and Sports Competitors
Technical Services Librarian,25-4022.00,Librarians and Media Collections Specialists
Pipefitter,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Projection Designer,27-1027.00,Set and Exhibit Designers
Teacher Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Residential Life Director,39-9041.00,Residential Advisors
Pizza Cook,35-2011.00,"Cooks, Fast Food"
Alterations Expert,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Food Prep (Food Preparer),35-2021.00,Food Preparation Workers
Dredge Operator,53-7031.00,Dredge Operators
Waste Water Treatment Plant Operator (WWTP Operator),51-8031.00,Water and Wastewater Treatment Plant and System Operators
Land Planner,17-1012.00,Landscape Architects
Product Safety and Standards Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Brick and Block Mason,47-2021.00,Brickmasons and Blockmasons
Plate Maker,51-5111.00,Prepress Technicians and Workers
Physiology Instructor,25-1042.00,"Biological Science Teachers, Postsecondary"
Quality and Process Improvement Manager,11-3051.01,Quality Control Systems Managers
Surgical Dental Assistant,31-9091.00,Dental Assistants
Switchboard Receptionist (SB Receptionist),43-2011.00,"Switchboard Operators, Including Answering Service"
Environmental Health and Safety Director,11-9199.02,Compliance Managers
Activities Assistant,39-9032.00,Recreation Workers
Back Hoe Operator,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Global Regulatory Affairs Manager (Global RA Manager),11-9199.01,Regulatory Affairs Managers
Signal and Communications Maintainer,49-9097.00,Signal and Track Switch Repairers
Planning Technician,19-3051.00,Urban and Regional Planners
Marine Biologist,19-1029.04,Biologists
Talent Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Cooker Operator,51-3093.00,Food Cooking Machine Operators and Tenders
Dragline Oiler,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
Coroner Investigator,13-1041.06,Coroners
Gluer Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
NDT Inspector (Non-Destructing Testing Inspector),17-3029.01,Non-Destructive Testing Specialists
Actuarial Associate,15-2011.00,Actuaries
Leadership Development Specialist,13-1151.00,Training and Development Specialists
Mason Tender,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Stretch Operator,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Advertising Manager (Ad Manager),11-2011.00,Advertising and Promotions Managers
Hearings Officer,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Skin Care Specialist,39-5094.00,Skincare Specialists
Diffusion Operator,51-9141.00,Semiconductor Processing Technicians
Stone Carver,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
Restoration Ecologist,19-2041.02,Environmental Restoration Planners
Fiberglass Technician,51-2051.00,Fiberglass Laminators and Fabricators
Part Time Flexible Clerk (PTF Clerk),43-5051.00,Postal Service Clerks
NDE Technician (Non-Destructive Evaluation Technician),17-3029.01,Non-Destructive Testing Specialists
Shag Truck Driver,53-7051.00,Industrial Truck and Tractor Operators
Compensation Consultant,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Training Manager,11-3131.00,Training and Development Managers
Dry Wall Installer,47-2081.00,Drywall and Ceiling Tile Installers
Photovoltaic Installer (PV Installer),47-2231.00,Solar Photovoltaic Installers
Plater,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Accounts Receivable Manager,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Pit Supervisor,39-1013.00,First-Line Supervisors of Gambling Services Workers
Load Haul Dump Operator (LHD Operator),47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Farmer,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Clinical Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Medical Technologist (MT),29-2011.00,Medical and Clinical Laboratory Technologists
Small Engine Technician (Small Engine Tech),49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
Animal Nutritionist,19-1011.00,Animal Scientists
Fire Investigator,33-2021.00,Fire Inspectors and Investigators
Dietetic Assistant,29-2051.00,Dietetic Technicians
Administrative Judge,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Armed Security Officer,33-9032.00,Security Guards
Paver Operator,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Certified Physical Therapist Assistant (CPTA),31-2021.00,Physical Therapist Assistants
Real Estate Appraiser,13-2023.00,Appraisers and Assessors of Real Estate
Business Professor,25-1011.00,"Business Teachers, Postsecondary"
Ethanol Operator,51-8099.01,Biofuels Processing Technicians
Medical Technician,29-2012.00,Medical and Clinical Laboratory Technicians
MRI Tech (Magnetic Resonance Imaging Technician),29-2035.00,Magnetic Resonance Imaging Technologists
Assembly Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers
Forest Wildlife Biologist,19-1023.00,Zoologists and Wildlife Biologists
Bioinformatics Technician,15-2099.01,Bioinformatics Technicians
Solar Energy Technician,47-2152.04,Solar Thermal Installers and Technicians
Retail Salesperson,41-2031.00,Retail Salespersons
Adjunct History Instructor,25-1125.00,"History Teachers, Postsecondary"
Water Resources Planner,11-9121.02,Water Resource Specialists
Bus Person,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Logging Crew Foreman,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Chauffeur,53-3053.00,Shuttle Drivers and Chauffeurs
Soil Lab Technician (Soil Laboratory Technician),19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Passenger Locomotive Engineer,53-4011.00,Locomotive Engineers
PT Tech (Physical Therapist Technician),31-2022.00,Physical Therapist Aides
Housekeeping Supervisor,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Receiving Manager,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Legal Office Support Assistant,43-6012.00,Legal Secretaries and Administrative Assistants
Admissions Representative,43-4111.00,"Interviewers, Except Eligibility and Loan"
Independent Distributor,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Brand Ambassador,41-9011.00,Demonstrators and Product Promoters
Photonics Technician,17-3029.08,Photonics Technicians
Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Extension Specialist,25-9021.00,Farm and Home Management Educators
Pre-Kindergarten Teacher (Pre-K Teacher),25-2011.00,"Preschool Teachers, Except Special Education"
Advertising Writer,27-3043.00,Writers and Authors
Asphalt Paving Machine Operator,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Tax Consultant,13-2082.00,Tax Preparers
Packing Line Operator,53-7011.00,Conveyor Operators and Tenders
Vinyl Hanger,47-2142.00,Paperhangers
Public Health Educator,21-1091.00,Health Education Specialists
RV Technician (Recreational Vehicle Technician),49-3092.00,Recreational Vehicle Service Technicians
Social Welfare Examiner (SWEX),43-4061.00,"Eligibility Interviewers, Government Programs"
Ceramist,51-9081.00,Dental Laboratory Technicians
GED Instructor (General Educational Development Instructor),25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Computer Support Specialist,15-1232.00,Computer User Support Specialists
Highway Maintainer,47-4051.00,Highway Maintenance Workers
Steel Tier,47-2171.00,Reinforcing Iron and Rebar Workers
Patient Resource Worker,29-2099.08,Patient Representatives
Cafe Server,35-3023.00,Fast Food and Counter Workers
Studio Engineer,27-4014.00,Sound Engineering Technicians
Charter Coordinator,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Carpenter Assistant,47-3012.00,Helpers--Carpenters
Rail Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Nurse Educator,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
Skin Care Technician,39-5094.00,Skincare Specialists
District Forester,19-1032.00,Foresters
School Counselor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
Home Performance Consultant,47-4011.01,Energy Auditors
Wind Technician,49-9081.00,Wind Turbine Service Technicians
Helicopter Technician,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Nephrology Social Worker,21-1022.00,Healthcare Social Workers
Account Services Representative (Accounts Services Rep),43-3021.00,Billing and Posting Clerks
Lease Administration Supervisor,11-9141.00,"Property, Real Estate, and Community Association Managers"
Internet Programmer,15-1251.00,Computer Programmers
Janitor,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Linguist,27-3091.00,Interpreters and Translators
Special Education Aide,25-9043.00,"Teaching Assistants, Special Education"
Staff Respiratory Therapist,29-1126.00,Respiratory Therapists
Legal Secretary,43-6012.00,Legal Secretaries and Administrative Assistants
Public School System Music Therapist,29-1129.02,Music Therapists
Corporate Licensed Broker,13-1041.08,Customs Brokers
Licensed Midwife (LM),29-9099.01,Midwives
Cook Chill Technician (CCT),29-2051.00,Dietetic Technicians
Correspondence Clerk,43-4021.00,Correspondence Clerks
Instrumentation and Control Technician (I and C Technician),49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Electrical and Instrument Technician (E and I Tech),49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Egg Grader,45-2041.00,"Graders and Sorters, Agricultural Products"
AV Tech (Audio Visual Technician),27-4011.00,Audio and Video Technicians
Billing Clerk,43-3021.00,Billing and Posting Clerks
Refinery Operator,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
Boilermaker Mechanic,47-2011.00,Boilermakers
Scientific Programmer Analyst,15-1221.00,Computer and Information Research Scientists
Biofuels Processing Technician,51-8099.01,Biofuels Processing Technicians
Pediatric Dentist,29-1021.00,"Dentists, General"
Technical Sales Engineer,41-9031.00,Sales Engineers
Quality Control Laboratory Technician (QC Lab Tech),19-4031.00,Chemical Technicians
Program Management Analyst,13-1111.00,Management Analysts
Fire Chief,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Registered Health Information Technician (RHIT),29-2072.00,Medical Records Specialists
Sky Cap,39-6011.00,Baggage Porters and Bellhops
Loom Technician,49-9041.00,Industrial Machinery Mechanics
Quality Analyst,19-4013.00,Food Science Technicians
Multiskill Operator,51-9011.00,Chemical Equipment Operators and Tenders
Certified Exercise Physiologist (EPC),29-1128.00,Exercise Physiologists
Certified Credit and Housing Counselor,13-2071.00,Credit Counselors
Optometrist,29-1041.00,Optometrists
Recovery Boiler Operator,51-8021.00,Stationary Engineers and Boiler Operators
Caterer,35-2015.00,"Cooks, Short Order"
Electronic Console Display Operator,43-9031.00,Desktop Publishers
Dental Technician (Dental Tech),51-9081.00,Dental Laboratory Technicians
Certified Concierge,39-6012.00,Concierges
Family Nurse Practitioner (FNP),29-1171.00,Nurse Practitioners
3D Artist (Three-Dimensional Artist),27-1014.00,Special Effects Artists and Animators
Crew Boat Operator,53-5022.00,Motorboat Operators
Clinical Neuropsychologist,19-3039.03,Clinical Neuropsychologists
Tailman,47-2151.00,Pipelayers
Line Tender,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
Sales Director,11-2022.00,Sales Managers
Potato Sorter,45-2041.00,"Graders and Sorters, Agricultural Products"
Bandmill Operator,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
Ophthalmic Medical Technician (Ophthalmic Medical Tech),29-2057.00,Ophthalmic Medical Technicians
Registered Diagnostic Medical Sonographer (RDMS),29-2032.00,Diagnostic Medical Sonographers
Adult Family Home Program Manager,39-1022.00,First-Line Supervisors of Personal Service Workers
Scale Technician,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Soils Technician,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Exhibits Curator,25-4012.00,Curators
Batch Heat Treat Operator,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Telecommunication Systems Designer (Telecom Systems Designer),15-1241.01,Telecommunications Engineering Specialists
Benefits Program Tech (Benefits Program Technician),43-4061.00,"Eligibility Interviewers, Government Programs"
Ballet Dancer,27-2031.00,Dancers
Contact Lens Technician,29-2081.00,"Opticians, Dispensing"
Certified Genetic Counselor,29-9092.00,Genetic Counselors
Analytical Strategist,15-2031.00,Operations Research Analysts
Quality Control Manager (QC Manager),11-3051.01,Quality Control Systems Managers
Historic Clothing and Costume Maker,27-1022.00,Fashion Designers
Service Forester,19-1032.00,Foresters
On-Site Manager,11-9141.00,"Property, Real Estate, and Community Association Managers"
Automotive Technology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Certified Pharmacy Technician (CPhT),29-2052.00,Pharmacy Technicians
Engine Builder,51-2031.00,Engine and Other Machine Assemblers
Occupational Therapist Aide (OT Aide),31-2012.00,Occupational Therapy Aides
Rehabilitation Aide,31-2022.00,Physical Therapist Aides
Food Sanitarian,45-2011.00,Agricultural Inspectors
Boilermaker,47-2011.00,Boilermakers
Human Geography Instructor,25-1064.00,"Geography Teachers, Postsecondary"
Diver,49-9092.00,Commercial Divers
Data Transcriber,43-9021.00,Data Entry Keyers
Drill Press Operator,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Opera Singer,27-2042.00,Musicians and Singers
Research Chemist,19-2031.00,Chemists
Mechanical Insulator,47-2132.00,"Insulation Workers, Mechanical"
Crime and Intelligence Analyst,33-3021.06,Intelligence Analysts
Autism Consultant,19-3034.00,School Psychologists
Materials Coordinator,43-5061.00,"Production, Planning, and Expediting Clerks"
Program Director (PD),27-2012.03,Media Programming Directors
Custom Tailor,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Research Physicist,19-2012.00,Physicists
Fence Technician (Fence Tech),47-4031.00,Fence Erectors
Video Clerk,41-2021.00,Counter and Rental Clerks
Coil Finisher,51-2021.00,"Coil Winders, Tapers, and Finishers"
Supply Chain Logistics Manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
Crime Scene Analyst (CSA),19-4092.00,Forensic Science Technicians
Highwall Drill Operator,47-5023.00,"Earth Drillers, Except Oil and Gas"
PVC Loader (Polyvinyl Chloride Loader),53-7121.00,"Tank Car, Truck, and Ship Loaders"
Control System Computer Scientist,15-1221.00,Computer and Information Research Scientists
Substation Electrician,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Biological Science Aide,19-4071.00,Forest and Conservation Technicians
Photo Specialist,51-9151.00,Photographic Process Workers and Processing Machine Operators
Ophthalmic Technologist (Ophthalmic Tech),29-2099.05,Ophthalmic Medical Technologists
Clock Repairer,49-9064.00,Watch and Clock Repairers
Rodman,47-2171.00,Reinforcing Iron and Rebar Workers
Gaming Investigator,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Recycling Specialist,53-1042.01,Recycling Coordinators
Animator,27-1014.00,Special Effects Artists and Animators
Fire Protection Specialist,33-2021.00,Fire Inspectors and Investigators
Reservoir Engineering Consultant,17-2171.00,Petroleum Engineers
Certified Nurse-Midwife (CNM),29-1161.00,Nurse Midwives
Boat Mechanic,49-3051.00,Motorboat Mechanics and Service Technicians
School Superintendent,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Sprinkler Fitter,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Broadband Technician,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Clinic Nurse,29-2061.00,Licensed Practical and Licensed Vocational Nurses
Die Cast Technician,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
Natural Resources Specialist,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Waiter,35-3031.00,Waiters and Waitresses
GIS Technician (Geographic Information Systems Technician),15-1299.02,Geographic Information Systems Technologists and Technicians
Inserter Operator,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Middle School Special Education Teacher,25-2057.00,"Special Education Teachers, Middle School"
Diesel Mechanic,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
Forensic Scientist,19-4092.00,Forensic Science Technicians
Shirt Presser,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Emergency Veterinary Assistant,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Dock Worker,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
Registered Therapist Assistant,31-2011.00,Occupational Therapy Assistants
Floor Finisher,47-2043.00,Floor Sanders and Finishers
Forestry Technician (Forestry Tech),19-4071.00,Forest and Conservation Technicians
Fitting Room Attendant,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Environmental Health and Safety Officer,19-5011.00,Occupational Health and Safety Specialists
Finishing Technician,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Paper Mill Electrician,47-2111.00,Electricians
Customer Service Associate (CSA),43-3071.00,Tellers
Skidder Driver,45-4022.00,Logging Equipment Operators
Pharmacy Ancillary,31-9095.00,Pharmacy Aides
Ride Operator,39-3091.00,Amusement and Recreation Attendants
Biologist,19-1029.04,Biologists
Advanced Analytics Associate,15-2031.00,Operations Research Analysts
Instructional Technology Specialist,25-4022.00,Librarians and Media Collections Specialists
Geotechnical Engineer,17-2051.00,Civil Engineers
Light Truck Driver,53-3033.00,Light Truck Drivers
Light Rail Train Operator,53-4041.00,Subway and Streetcar Operators
Ophthalmic Ultrasonographer,29-2099.05,Ophthalmic Medical Technologists
Motor Grader Operator,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Biomedical Technician (Biomed Tech),49-9062.00,Medical Equipment Repairers
Bioinformatics Specialist,15-2099.01,Bioinformatics Technicians
Commercial Glazier,47-2121.00,Glaziers
Engineering Director,11-9041.00,Architectural and Engineering Managers
Physician GYN (Physician Gynecologist),29-1218.00,Obstetricians and Gynecologists
